Age,Gender,Occupation,Daily_AI_Usage_Hours,AI_Usage_Purpose,Specialization,AI_Tools_Used,AI_Usage_Frequency,AI_Skill_Level,Device_Used,Data_Privacy_Concern,AI_Trust_Level,Location,Language_Preference,Internet_Speed,AI_Usage_Change_in_6_Months,Uses_Paid_AI_Tools,Satisfaction_Level,Can_Live_Without_AI,Task_Complexity,Time_to_Respond_Seconds,Performance (%)
52,,Freelancer,2,Shopping,Medicine,Notion AI,Sometimes,Beginner,Desktop,Low,Moderate,Suburban,French,Fast,Decreased,No,5,Yes,2,38,65
34,,Designer,11,Entertainment,Business,Midjourney,Often,Advanced,Desktop,Low,High,Urban,Spanish,Medium,Decreased,Yes,1,Yes,2,36,65
64,Female,Unemployed,2,Entertainment,Law,Copilot,Rarely,Advanced,Desktop,Low,Low,Urban,Arabic,Fast,Increased,No,9,No,2,22,85
19,Female,Unemployed,10,Daily Life,Engineering,Copilot,,Intermediate,Mobile,Medium,High,Suburban,French,Medium,Increased,No,4,Yes,1,22,83
31,,Freelancer,8,Study,Computer Science,Midjourney,Sometimes,Beginner,Laptop,Medium,Moderate,Suburban,English,Medium,Decreased,No,8,No,2,24,85
34,,Engineer,7,Health,Law,ChatGPT,Daily,Beginner,Laptop,Medium,Low,Urban,Arabic,Medium,Same,Yes,1,Yes,4,106,55
53,,Doctor,2,,Medicine,Bard,Daily,Beginner,Mobile,High,High,Rural,French,Slow,Decreased,No,8,No,3,56,80
41,,Freelancer,1,Entertainment,Law,Bard,Daily,Intermediate,Tablet,Low,High,Rural,English,Medium,Same,Yes,5,Yes,2,39,67
43,Female,Teacher,0,Daily Life,Law,ChatGPT,Daily,Advanced,Desktop,Low,Low,Urban,Spanish,Fast,Increased,Yes,9,No,2,34,67
39,Female,Researcher,8,Health,Law,Other,Often,Beginner,Tablet,Medium,Low,Urban,Arabic,Slow,Increased,Yes,5,Yes,3,57,78
52,,Researcher,8,Study,Art,Other,Daily,Beginner,Tablet,Medium,Low,Suburban,French,Medium,Increased,No,7,No,2,32,63
63,Male,Designer,11,Daily Life,Engineering,Midjourney,Often,Beginner,Mobile,Low,Low,Suburban,French,Slow,Decreased,No,2,Yes,2,21,83
36,,Student,1,Shopping,Law,Other,Often,Advanced,Mobile,Low,Moderate,Rural,Arabic,Slow,Decreased,No,4,Yes,2,48,63
22,,Engineer,7,Shopping,Engineering,Other,Rarely,Beginner,Mobile,Low,High,Urban,Spanish,Slow,Decreased,Yes,1,Yes,3,56,83
47,Female,Doctor,1,Health,Computer Science,ChatGPT,Daily,Beginner,Mobile,Medium,High,Rural,English,Fast,Increased,Yes,6,No,4,80,75
58,,Freelancer,5,Study,Computer Science,Midjourney,Rarely,Intermediate,Tablet,High,High,Rural,Spanish,Medium,Increased,No,9,No,2,43,67
45,Female,Researcher,1,Work,Law,ChatGPT,Rarely,Beginner,Desktop,Medium,High,Urban,English,Slow,Increased,Yes,3,Yes,2,46,63
40,,Student,4,Entertainment,Education,Bard,Sometimes,Advanced,Laptop,Medium,Moderate,Rural,French,Medium,Same,Yes,9,No,2,35,63
54,Male,Doctor,10,Daily Life,Computer Science,ChatGPT,Sometimes,Beginner,Desktop,Medium,Low,Suburban,Arabic,Medium,Same,,1,Yes,2,33,67
44,Male,Designer,7,Entertainment,Education,Copilot,Often,Intermediate,Mobile,Low,,Suburban,English,,Same,Yes,3,Yes,2,30,85
28,,Researcher,8,Shopping,Education,ChatGPT,Often,Intermediate,Mobile,High,Low,Urban,Arabic,Fast,Decreased,No,4,Yes,2,38,65
26,Female,Unemployed,8,Daily Life,Art,Bard,Rarely,Intermediate,Desktop,Medium,High,Urban,English,Medium,Decreased,No,10,No,1,22,87
53,Male,Unemployed,11,Study,Medicine,Copilot,Rarely,Advanced,Laptop,Low,Moderate,Rural,Arabic,Slow,Increased,No,2,Yes,2,31,65
18,Female,Researcher,4,,Computer Science,,Often,Advanced,Laptop,High,Moderate,Urban,Arabic,Fast,Increased,Yes,7,No,2,34,67
63,,Student,9,Entertainment,Law,Bard,Rarely,Advanced,Desktop,Medium,Moderate,Urban,French,Slow,Same,No,3,Yes,2,49,67
53,Male,Student,3,Shopping,Art,Notion AI,Often,Intermediate,Desktop,High,Moderate,Suburban,French,Slow,Increased,No,8,No,2,20,83
26,,Doctor,11,Shopping,Engineering,Other,Daily,Advanced,Tablet,Low,Low,Urban,Spanish,Fast,Increased,Yes,3,Yes,3,88,63
38,Female,Researcher,8,Shopping,Education,Other,Often,Beginner,Laptop,High,Moderate,Urban,English,Medium,Decreased,Yes,5,Yes,2,37,63
60,Female,Teacher,0,Study,Art,Other,Sometimes,Intermediate,Desktop,Medium,Moderate,Suburban,Arabic,Fast,Decreased,Yes,9,No,2,33,67
23,,Teacher,10,Study,Education,Midjourney,Rarely,Advanced,Laptop,High,Low,Rural,Arabic,Fast,Increased,No,10,No,2,37,67
57,,Researcher,0,Study,Art,Other,Often,Intermediate,Tablet,Medium,Low,Urban,Spanish,Slow,Decreased,Yes,4,Yes,2,26,87
64,Male,Teacher,9,Study,Law,ChatGPT,Often,Beginner,Desktop,High,Moderate,Urban,Spanish,,Increased,Yes,8,No,2,30,87
21,Female,Designer,1,Work,Engineering,Midjourney,Sometimes,Beginner,Tablet,Medium,Low,Rural,French,Slow,Same,No,7,No,2,29,87
38,Female,Designer,10,Work,Art,Midjourney,Rarely,Advanced,Mobile,Medium,Low,Rural,Spanish,Medium,Decreased,No,2,Yes,2,23,87
22,Female,Teacher,3,Study,Medicine,Copilot,Sometimes,Intermediate,Laptop,Low,Low,Suburban,Spanish,Fast,Decreased,Yes,10,No,2,42,67
55,,Unemployed,9,,Computer Science,Bard,Sometimes,Intermediate,Mobile,Low,Low,Suburban,Arabic,Medium,Decreased,No,5,Yes,2,23,87
34,,Designer,7,Work,,Bard,Daily,Beginner,Mobile,Medium,Low,Suburban,English,Fast,Same,No,3,Yes,2,26,83
19,,Engineer,11,Entertainment,Engineering,Notion AI,Daily,Intermediate,Laptop,High,Moderate,Suburban,French,Medium,Decreased,Yes,4,Yes,3,40,78
37,,Student,7,Work,Business,Notion AI,Daily,Beginner,Desktop,Medium,High,Suburban,English,Slow,Decreased,No,5,Yes,2,26,83
59,Female,Researcher,5,Study,,Other,Daily,Beginner,Desktop,High,High,Urban,English,Slow,Increased,No,6,No,2,27,87
22,Female,Engineer,9,Shopping,Law,Midjourney,Daily,Intermediate,Tablet,High,Low,Urban,Spanish,Fast,Increased,Yes,8,No,3,69,61
21,Male,Student,5,Study,Education,Notion AI,,Beginner,Tablet,Medium,Low,Rural,English,Fast,Same,Yes,3,Yes,2,25,87
62,,Engineer,0,Health,Law,Other,Sometimes,Beginner,Laptop,High,Moderate,Suburban,French,Fast,Decreased,No,6,No,4,112,57
62,Female,Researcher,6,Health,Business,Notion AI,Daily,Intermediate,Mobile,Medium,Moderate,Suburban,French,Slow,Same,Yes,4,Yes,3,43,77
63,Female,Teacher,2,Shopping,Engineering,Notion AI,Rarely,Beginner,Tablet,Medium,Moderate,Rural,French,Fast,Increased,No,4,Yes,2,40,63
62,Male,Engineer,5,Daily Life,Education,Other,Rarely,Beginner,Mobile,High,High,Rural,French,Medium,Decreased,Yes,9,No,2,40,67
59,Male,Designer,6,Study,Education,Midjourney,Rarely,Intermediate,Desktop,High,High,Suburban,English,Slow,Decreased,Yes,9,No,2,33,65
54,Male,Student,8,Daily Life,Law,ChatGPT,Often,Advanced,Laptop,Medium,Moderate,Urban,Arabic,Medium,Increased,No,2,Yes,1,22,83
52,Female,Freelancer,2,Shopping,Education,Bard,Sometimes,Advanced,Laptop,High,High,Suburban,French,Fast,Same,Yes,2,Yes,2,38,63
30,,Doctor,5,Daily Life,Business,,Often,Advanced,Mobile,Medium,Moderate,Suburban,English,Slow,Decreased,Yes,2,Yes,2,42,67
47,Female,Researcher,8,,Medicine,Midjourney,Sometimes,Advanced,Tablet,Medium,High,Rural,English,Fast,Same,No,6,No,2,35,65
39,,Doctor,3,Entertainment,Education,Copilot,Sometimes,Beginner,,Medium,Moderate,Suburban,Spanish,Slow,Decreased,No,5,Yes,3,81,67
55,Female,Freelancer,6,,Law,Other,Rarely,Advanced,Mobile,Low,Low,Urban,English,Slow,Same,No,8,No,2,23,85
55,Male,Researcher,8,Entertainment,Law,Notion AI,Daily,Advanced,Desktop,High,Low,Urban,Arabic,Medium,Increased,Yes,5,Yes,2,34,67
59,Female,Unemployed,11,Daily Life,Law,Copilot,Daily,Advanced,Laptop,Medium,High,Rural,Arabic,Medium,Decreased,No,6,No,1,30,83
26,,Freelancer,4,Work,Education,Other,Sometimes,Intermediate,Tablet,Low,High,Urban,Arabic,Fast,Same,Yes,8,No,2,20,83
31,,Researcher,8,Shopping,Business,Notion AI,,Advanced,Laptop,High,Low,Suburban,Spanish,Medium,Same,Yes,9,No,2,28,85
48,Female,Doctor,4,Study,Engineering,Copilot,Rarely,Advanced,Laptop,Medium,Low,Suburban,Arabic,Fast,Increased,No,7,No,3,68,61
44,Male,Unemployed,3,Health,Engineering,Midjourney,Sometimes,Advanced,Laptop,Medium,Moderate,Suburban,Arabic,Slow,Same,No,2,Yes,2,31,65
63,Female,Freelancer,8,Health,Computer Science,Notion AI,Sometimes,Intermediate,Desktop,Low,Low,Urban,French,Medium,Same,Yes,8,No,3,66,63
28,,Engineer,1,Shopping,Law,Copilot,Daily,,Tablet,High,Low,Rural,French,Slow,Decreased,No,3,Yes,3,58,77
22,Male,Designer,1,Shopping,Art,Bard,,Beginner,Tablet,High,Low,Rural,Arabic,Fast,Increased,No,3,Yes,2,47,65
50,Female,Student,11,Study,Computer Science,Notion AI,Sometimes,Advanced,Laptop,High,Low,Urban,French,Medium,Increased,Yes,4,Yes,2,22,83
25,,Student,11,Daily Life,Education,Midjourney,Daily,Advanced,Mobile,High,High,Urban,Arabic,Slow,Increased,No,6,No,1,19,87
51,Male,Student,8,Shopping,,ChatGPT,Often,Beginner,Desktop,High,Moderate,Rural,Arabic,Medium,Decreased,Yes,1,Yes,2,28,87
47,Male,Engineer,3,Health,Art,Bard,Rarely,Beginner,Desktop,Low,Low,Suburban,English,Medium,Decreased,No,3,Yes,4,82,75
39,Male,Student,1,Work,Art,Midjourney,Sometimes,Advanced,Mobile,Medium,High,Urban,English,Medium,Decreased,No,1,Yes,2,29,87
39,Female,Student,5,Study,Business,Other,Daily,Advanced,Mobile,High,High,Rural,English,Slow,Increased,No,9,No,2,47,67
26,,Engineer,5,Study,Education,Notion AI,Daily,Advanced,Tablet,Low,High,Urban,Arabic,Medium,Same,No,1,Yes,3,81,65
24,Male,Freelancer,1,Work,Education,Notion AI,Often,Intermediate,Desktop,Low,High,Rural,French,Slow,Increased,Yes,5,Yes,2,25,87
48,,Engineer,6,Study,Engineering,Copilot,Rarely,Beginner,Mobile,Medium,Moderate,Urban,English,Fast,Decreased,Yes,5,Yes,3,52,83
55,Female,Doctor,8,Work,,ChatGPT,Rarely,Intermediate,,Low,Moderate,Urban,Spanish,Slow,Decreased,No,8,No,3,74,63
21,Male,Teacher,4,Entertainment,Law,Notion AI,Sometimes,Advanced,,Low,Moderate,Suburban,French,Slow,Same,Yes,8,No,2,44,63
59,,Freelancer,10,Work,Medicine,Notion AI,Sometimes,Beginner,Mobile,Low,High,Urban,French,,Decreased,No,10,No,2,41,63
60,,Unemployed,10,Shopping,,Midjourney,Daily,Beginner,Desktop,High,High,Urban,English,Medium,Decreased,Yes,7,No,2,29,83
28,,Unemployed,11,Health,,Midjourney,,Beginner,Mobile,High,Low,Rural,English,Slow,Decreased,No,9,No,2,46,67
20,,Teacher,3,Entertainment,Art,Other,Sometimes,Intermediate,Desktop,Low,High,Suburban,Arabic,Medium,Increased,No,6,No,2,41,67
30,Female,Unemployed,4,Entertainment,Computer Science,Other,Sometimes,Advanced,Mobile,Low,High,Suburban,English,Fast,Decreased,Yes,1,Yes,2,41,65
112,,Researcher,6,Study,Law,ChatGPT,Often,Intermediate,Laptop,Low,Low,Urban,French,Slow,Increased,Yes,6,No,2,35,63
52,Male,Unemployed,10,Entertainment,Law,Midjourney,Rarely,Intermediate,Tablet,Medium,High,Urban,French,Slow,Increased,No,8,No,2,44,67
26,,Engineer,3,Health,Engineering,Other,Sometimes,Advanced,Laptop,High,High,Urban,French,Medium,Decreased,Yes,4,Yes,4,107,63
18,Female,Teacher,9,Study,Computer Science,Midjourney,Often,Advanced,Tablet,High,Low,Rural,English,Fast,Increased,No,10,No,2,40,67
21,Female,Designer,12,Shopping,Engineering,Bard,Sometimes,Intermediate,Desktop,Low,Low,Suburban,Arabic,Medium,Same,Yes,2,Yes,2,47,63
57,,Engineer,8,Shopping,Medicine,Copilot,Daily,Beginner,Laptop,High,High,Urban,Arabic,,Increased,No,5,Yes,3,89,67
54,Female,Teacher,12,Study,Computer Science,Copilot,Daily,Beginner,Laptop,Medium,Moderate,Suburban,French,Slow,Decreased,Yes,9,No,2,20,87
63,,Designer,11,Entertainment,Art,Notion AI,Rarely,Beginner,Mobile,High,High,Urban,Spanish,Fast,Increased,No,9,No,2,38,63
28,,Researcher,6,Work,Business,Midjourney,Sometimes,Beginner,Desktop,High,High,Rural,Spanish,Fast,Increased,Yes,9,No,2,25,83
38,Male,Freelancer,11,Entertainment,Engineering,Notion AI,Sometimes,Beginner,Mobile,Medium,Moderate,Rural,French,Medium,Increased,No,1,Yes,2,44,63
28,Male,Designer,7,Daily Life,Law,Other,Sometimes,Advanced,Tablet,Medium,Moderate,Urban,English,Slow,Increased,Yes,8,No,2,28,87
28,,Unemployed,3,Shopping,Engineering,ChatGPT,Often,,Desktop,High,Low,Rural,French,Fast,Increased,Yes,1,Yes,2,33,67
59,,Student,8,Study,Education,Other,Daily,Intermediate,Mobile,High,High,Rural,Arabic,Medium,Decreased,No,6,No,2,35,63
35,Male,Doctor,11,Entertainment,Law,Copilot,Sometimes,Advanced,Mobile,High,High,Rural,French,Medium,Same,Yes,5,Yes,3,83,61
47,,Doctor,12,Health,Business,Midjourney,Daily,Beginner,Mobile,High,High,Suburban,Arabic,Slow,Same,Yes,7,No,4,97,57
31,Male,Doctor,5,Work,,Bard,Daily,Intermediate,Tablet,Low,Low,Urban,French,Medium,Same,No,8,No,3,87,65
47,Male,Teacher,7,Study,Law,Notion AI,Sometimes,Advanced,Desktop,Medium,Low,Rural,Arabic,Medium,Same,Yes,2,Yes,2,38,63
18,Male,Student,2,Work,Engineering,,Daily,Beginner,Mobile,Low,Moderate,Urban,French,Medium,Increased,No,6,No,2,22,87
53,Female,Researcher,8,Health,Engineering,Copilot,Rarely,Intermediate,Mobile,Low,High,Suburban,Spanish,Slow,Decreased,No,10,No,3,51,77
57,,Student,8,Work,Medicine,Copilot,Sometimes,Intermediate,Desktop,Medium,Moderate,Urban,English,Medium,Same,No,8,No,2,25,83
36,Female,Teacher,7,Health,Medicine,Copilot,Sometimes,Intermediate,Mobile,Low,High,Urban,Arabic,Medium,Decreased,No,3,Yes,3,52,80
24,Male,Freelancer,11,Shopping,Art,Notion AI,Daily,Beginner,Laptop,High,Moderate,Rural,English,Slow,Same,No,4,Yes,2,40,65
61,Female,Researcher,11,Entertainment,Law,ChatGPT,Rarely,Beginner,Laptop,Low,High,Suburban,Arabic,Medium,Decreased,Yes,4,Yes,2,24,83
58,,Engineer,7,Study,Medicine,Notion AI,Daily,Intermediate,Laptop,Medium,Moderate,Rural,Spanish,Medium,Increased,No,3,Yes,3,58,77
63,Female,Researcher,2,Shopping,Education,Notion AI,Sometimes,Intermediate,Tablet,Low,Moderate,Suburban,Arabic,Medium,Increased,Yes,5,Yes,2,36,63
31,,Student,2,Health,Law,Other,Daily,Intermediate,Mobile,Medium,Low,Suburban,Arabic,,Decreased,Yes,2,Yes,2,34,67
39,Female,Student,9,Daily Life,Medicine,Bard,Often,Beginner,Tablet,Medium,Low,Rural,French,Slow,Decreased,Yes,2,Yes,1,12,87
36,Female,Doctor,11,Work,Law,Bard,Rarely,Beginner,Desktop,Low,Low,Rural,French,Fast,Decreased,No,7,No,3,69,67
18,Male,Teacher,4,Health,Medicine,,,Beginner,Mobile,High,Low,Urban,Spanish,Fast,Decreased,No,4,Yes,3,76,67
20,,Researcher,12,Study,Engineering,Other,Daily,Advanced,Tablet,Low,Moderate,Urban,French,Slow,Same,No,9,No,2,23,85
22,,Researcher,2,Shopping,Education,Other,Daily,Intermediate,Mobile,Low,Low,Rural,Spanish,Medium,Increased,No,6,No,2,44,65
34,,Freelancer,0,Study,Engineering,Other,Sometimes,Intermediate,Laptop,High,Low,Rural,Arabic,Fast,Decreased,No,8,No,2,50,63
54,Female,Teacher,5,Health,Education,Notion AI,Daily,Advanced,Desktop,Low,High,Urban,Arabic,Slow,Same,No,10,No,3,58,77
46,Male,Doctor,9,Work,Engineering,ChatGPT,Rarely,Advanced,Laptop,High,Moderate,Rural,French,Slow,Increased,No,9,No,3,86,65
26,,Doctor,4,Health,Business,Notion AI,Rarely,Advanced,Laptop,High,High,Rural,Arabic,Medium,Decreased,Yes,7,No,4,74,75
20,,Engineer,7,Entertainment,Education,Other,Sometimes,Intermediate,Mobile,High,High,Suburban,English,Slow,Same,Yes,4,Yes,3,41,78
23,Male,Unemployed,11,Study,Law,Other,Daily,Intermediate,Tablet,Low,Moderate,Rural,English,Medium,Same,No,3,Yes,2,34,67
46,,Engineer,8,Entertainment,Business,,Often,Advanced,Desktop,Medium,High,Urban,Arabic,Slow,Same,Yes,10,No,3,63,63
30,Female,Unemployed,10,Entertainment,Education,Bard,Often,Advanced,Desktop,High,High,Urban,English,Slow,Increased,No,5,Yes,2,35,65
57,Male,Teacher,2,Health,Law,Other,Often,Intermediate,Tablet,Medium,Moderate,Suburban,French,Slow,Decreased,Yes,1,Yes,3,46,83
51,Male,Engineer,2,Health,Art,Midjourney,Often,Advanced,Desktop,Medium,Low,Suburban,English,Slow,Increased,Yes,4,Yes,4,106,57
41,,Researcher,7,Entertainment,Business,Copilot,Rarely,Beginner,Desktop,Medium,Low,Rural,Spanish,Medium,Increased,No,1,Yes,2,48,67
54,Male,Freelancer,8,Health,Business,ChatGPT,Rarely,Advanced,Tablet,Low,Low,Rural,English,Slow,Decreased,No,2,Yes,3,74,61
54,Female,Designer,11,Entertainment,Engineering,ChatGPT,Daily,Beginner,Mobile,Low,Low,Rural,French,Medium,Increased,No,9,No,2,49,65
35,Male,Engineer,0,Health,Computer Science,Bard,Often,Beginner,Laptop,High,High,Urban,Arabic,Medium,Decreased,Yes,1,Yes,4,80,75
49,Female,Designer,8,Work,Business,Copilot,Sometimes,Intermediate,Desktop,Medium,Moderate,Urban,Spanish,Medium,Same,No,9,No,2,48,63
41,Female,Engineer,0,,Engineering,Bard,Daily,Advanced,Mobile,Medium,Low,Rural,English,Fast,Same,Yes,10,No,3,47,80
40,Male,Teacher,12,Health,Engineering,Copilot,Sometimes,Advanced,Tablet,Low,Moderate,Urban,Spanish,Fast,Same,Yes,5,Yes,3,48,78
43,Female,Doctor,5,Entertainment,Medicine,ChatGPT,Daily,Advanced,Laptop,High,High,Urban,Spanish,Fast,Decreased,No,2,Yes,3,68,65
35,Female,Teacher,4,Daily Life,Law,Copilot,Daily,Advanced,Desktop,Medium,Moderate,Suburban,Arabic,Medium,Decreased,Yes,10,No,2,35,65
61,Male,Researcher,12,Entertainment,Law,Bard,Sometimes,Beginner,Tablet,High,Low,Suburban,English,Medium,Increased,Yes,3,Yes,2,21,87
26,Male,Freelancer,4,Health,Computer Science,ChatGPT,Often,Intermediate,Tablet,Low,Moderate,Rural,Arabic,Medium,Decreased,Yes,3,Yes,3,83,67
43,Female,Student,25,Study,Education,Notion AI,Often,Advanced,Mobile,Low,Moderate,Suburban,French,Slow,Decreased,No,3,Yes,2,34,63
43,,Freelancer,2,Shopping,Engineering,Copilot,Often,Advanced,Mobile,Medium,High,Suburban,French,Slow,Same,No,5,Yes,2,40,67
31,Female,Designer,3,Shopping,Education,Notion AI,Often,Beginner,Tablet,High,Low,Rural,Arabic,Medium,Same,No,9,No,2,39,67
29,Male,Unemployed,3,Work,Law,Midjourney,Daily,Intermediate,,Low,Low,Suburban,French,Medium,Same,No,7,No,2,21,87
63,,Unemployed,0,Shopping,Education,Bard,Often,Advanced,Desktop,Low,High,Urban,Arabic,Fast,Increased,Yes,10,No,2,40,65
21,Female,Student,6,Daily Life,Education,ChatGPT,Rarely,Beginner,Tablet,Low,Low,Rural,English,Fast,Same,No,8,No,1,16,87
54,Male,Engineer,8,Daily Life,Art,Copilot,Rarely,Beginner,Desktop,Medium,Low,Rural,English,Slow,Decreased,No,9,No,2,20,85
24,Female,Unemployed,6,Shopping,Engineering,Bard,Rarely,Beginner,Tablet,Medium,High,Rural,Spanish,Medium,Decreased,No,8,No,2,24,87
45,,Researcher,8,Study,Engineering,Bard,Daily,Advanced,Tablet,Medium,Moderate,Rural,Arabic,Slow,Same,No,10,No,2,42,63
49,Female,Researcher,8,Entertainment,Art,Bard,Often,Beginner,Laptop,Medium,Moderate,Suburban,French,Fast,Decreased,Yes,1,Yes,2,30,85
54,Male,Engineer,32,Work,Business,ChatGPT,Sometimes,Advanced,Desktop,Medium,High,Rural,English,Slow,Decreased,No,9,No,3,56,77
21,,Engineer,3,Work,Engineering,Midjourney,,Beginner,Desktop,Low,Moderate,Urban,English,Medium,Increased,No,7,No,3,53,83
60,Male,Engineer,12,Study,Engineering,Notion AI,Rarely,Advanced,Laptop,Medium,High,Suburban,Arabic,Slow,Increased,No,5,Yes,3,49,78
29,Male,Freelancer,6,Shopping,Computer Science,Copilot,Often,Advanced,Tablet,High,Moderate,Suburban,English,Medium,Increased,Yes,9,No,2,23,83
36,,Engineer,7,Daily Life,Computer Science,Other,Daily,Advanced,Tablet,Medium,Moderate,Urban,French,Slow,Increased,No,8,No,2,46,65
29,Male,Designer,4,Study,Education,Midjourney,Sometimes,Beginner,Desktop,High,High,Urban,French,Fast,Decreased,No,9,No,2,24,83
60,Female,Teacher,10,Health,Business,Other,Daily,Beginner,Tablet,High,Moderate,Rural,Arabic,Slow,Increased,Yes,3,Yes,3,78,63
37,,Designer,1,Entertainment,Business,Copilot,Often,Beginner,Desktop,Low,Low,Urban,Spanish,Slow,Increased,No,7,No,2,21,83
29,Male,Engineer,1,Shopping,Business,Copilot,Daily,Beginner,Tablet,Medium,Low,Suburban,French,Fast,Same,No,1,Yes,3,56,77
33,,Designer,10,Study,Law,Bard,Sometimes,Beginner,Laptop,Medium,High,Rural,Arabic,Medium,Increased,No,3,Yes,2,28,87
28,,Researcher,2,Work,Engineering,Other,Often,Advanced,Desktop,Low,Moderate,Suburban,Spanish,Slow,Same,Yes,3,Yes,2,46,65
18,Female,Doctor,10,Entertainment,Engineering,Copilot,Sometimes,Advanced,Tablet,Low,High,Suburban,French,Fast,Increased,Yes,6,No,3,70,61
50,Female,Engineer,9,Study,Art,Midjourney,Rarely,Advanced,Laptop,Medium,High,Rural,Arabic,Medium,Decreased,Yes,5,Yes,3,82,65
23,,Teacher,7,Work,Computer Science,ChatGPT,Daily,Advanced,Desktop,Low,Low,Urban,English,Fast,Same,Yes,3,Yes,2,50,63
30,Male,Teacher,8,Health,Law,Notion AI,Rarely,Beginner,Desktop,Medium,Moderate,Suburban,French,Medium,Increased,,2,Yes,3,69,67
38,Male,Engineer,3,,Computer Science,Copilot,Often,Intermediate,Tablet,High,High,Suburban,French,Medium,Same,No,4,Yes,3,58,77
21,Male,Doctor,28,Daily Life,Art,Bard,Sometimes,Intermediate,Mobile,High,Low,Urban,Spanish,Fast,Same,No,2,Yes,2,23,87
40,Male,Unemployed,10,Shopping,Education,Bard,Rarely,Beginner,Laptop,Low,High,Suburban,Arabic,Slow,Same,Yes,5,Yes,2,26,87
43,,Unemployed,12,Health,Education,Other,Daily,Advanced,Desktop,Low,Moderate,Urban,Spanish,Medium,Decreased,Yes,9,No,2,47,63
44,Male,Designer,4,Study,Engineering,ChatGPT,Rarely,Advanced,Mobile,High,Low,Suburban,French,Fast,Decreased,No,2,Yes,2,39,63
53,,Doctor,11,Daily Life,Medicine,Other,Daily,Beginner,Laptop,Medium,Moderate,Urban,English,Fast,Decreased,No,2,Yes,2,46,67
46,,Freelancer,11,Shopping,Law,Midjourney,Daily,Advanced,Mobile,High,Moderate,Urban,Arabic,Medium,Increased,Yes,8,No,2,30,85
56,Male,Designer,9,Work,Engineering,ChatGPT,Often,Intermediate,Mobile,High,High,Urban,French,Medium,Increased,No,9,No,2,45,63
41,,Unemployed,7,,Medicine,Other,Sometimes,Advanced,Tablet,High,Moderate,Suburban,French,Medium,Increased,Yes,6,No,2,39,63
57,,Doctor,8,Daily Life,Medicine,Bard,Rarely,Intermediate,Desktop,High,Low,Rural,English,Fast,Decreased,No,2,Yes,2,42,65
60,Male,Researcher,12,Health,Business,ChatGPT,Sometimes,Beginner,Desktop,Medium,Moderate,Urban,Arabic,Slow,Increased,No,4,Yes,3,40,80
61,Female,Researcher,11,Daily Life,Business,ChatGPT,Rarely,Beginner,Tablet,Medium,Low,Urban,Spanish,Medium,Increased,Yes,6,No,2,44,65
24,Male,Engineer,7,Health,Law,Midjourney,Daily,Advanced,Tablet,Medium,Moderate,Suburban,Spanish,Medium,Same,Yes,2,Yes,4,104,60
64,Male,Freelancer,6,Study,Medicine,,Daily,Advanced,Mobile,Low,Moderate,Suburban,Spanish,Slow,Same,No,10,No,2,42,63
52,,Freelancer,12,Study,Law,Copilot,Often,Advanced,Mobile,High,High,Suburban,Spanish,Medium,Decreased,No,1,Yes,2,25,87
20,,Freelancer,4,Work,Art,Midjourney,,Intermediate,Laptop,High,High,Suburban,French,Fast,Same,No,8,No,2,49,65
30,,Researcher,8,Daily Life,Medicine,Copilot,Rarely,Intermediate,Laptop,Low,High,Rural,Arabic,Fast,Same,No,3,Yes,2,24,85
57,Female,Freelancer,0,Shopping,Business,Other,Rarely,Beginner,,Low,Low,Rural,Spanish,Fast,Decreased,No,7,No,2,43,67
20,,Unemployed,4,Health,Business,Other,Sometimes,Beginner,Tablet,Medium,High,Urban,Arabic,Fast,Increased,No,6,No,2,25,87
18,Female,Researcher,3,Entertainment,Art,Bard,Sometimes,Beginner,Desktop,High,Moderate,Urban,Spanish,Medium,Increased,Yes,2,Yes,2,20,83
38,Male,Doctor,6,Entertainment,,ChatGPT,Sometimes,Intermediate,Desktop,High,High,Rural,English,Slow,Decreased,,6,No,3,50,80
41,Female,Designer,7,Entertainment,Computer Science,Other,Often,Beginner,Mobile,Low,Low,Urban,Arabic,Fast,Decreased,Yes,3,Yes,2,37,67
44,Male,Designer,6,Daily Life,Law,Bard,Often,Advanced,Laptop,Medium,Moderate,Suburban,French,Slow,Same,No,10,No,2,29,83
34,Female,Engineer,9,Study,Engineering,ChatGPT,Daily,Intermediate,Desktop,High,Moderate,Urban,English,Slow,Decreased,Yes,9,No,3,68,63
30,Male,Teacher,9,Work,Engineering,ChatGPT,Sometimes,Intermediate,Laptop,High,High,Rural,Spanish,Slow,Decreased,Yes,6,No,2,32,63
41,Female,Student,2,Work,Law,ChatGPT,Sometimes,Advanced,Desktop,Medium,High,Rural,French,Slow,Decreased,Yes,6,No,2,41,65
59,Female,Doctor,6,Study,Art,Midjourney,Rarely,Advanced,Mobile,Low,High,Suburban,Arabic,Medium,Same,Yes,5,Yes,3,50,77
27,,Student,7,Work,Art,Notion AI,Often,Advanced,Tablet,Low,High,Suburban,French,Medium,Same,Yes,9,No,2,38,65
43,Female,Student,9,Study,Art,Midjourney,Daily,Intermediate,Mobile,High,Moderate,Rural,French,Slow,Decreased,No,10,No,2,39,67
61,Male,Doctor,0,Study,Computer Science,Other,Rarely,Intermediate,Desktop,Medium,Moderate,Urban,English,Medium,Increased,Yes,4,Yes,3,45,78
